 ,X,Y
127,77.500,17.500
128,82.500,17.500
129,87.500,17.500
130,92.500,17.500
131,97.500,17.500
132,102.500,17.500
133,107.500,17.500
134,112.500,17.500
135,117.500,17.500
136,122.500,17.500
137,127.500,17.500
138,132.500,17.500
139,137.500,17.500
140,142.500,17.500
141,147.500,17.500
142,152.500,17.500
143,157.500,17.500
144,162.500,17.500
145,167.500,17.500
146,172.500,17.500
147,177.500,17.500
148,180.500,17.500
149,2.500,22.500
150,7.500,22.500
151,12.500,22.500
152,17.500,22.500
153,22.500,22.500
154,27.500,22.500
155,32.500,22.500
156,37.500,22.500
157,42.500,22.500
158,47.500,22.500
159,52.500,22.500
160,57.500,22.500
161,62.500,22.500
162,67.500,22.500
163,72.500,22.500
164,77.500,22.500
165,82.500,22.500
166,87.500,22.500
167,92.500,22.500
168,97.500,22.500
169,102.500,22.500
170,107.500,22.500
171,112.500,22.500
172,117.500,22.500
173,122.500,22.500
174,127.500,22.500
175,132.500,22.500
176,137.500,22.500
177,142.500,22.500
178,147.500,22.500
179,152.500,22.500
180,157.500,22.500
181,162.500,22.500
182,167.500,22.500
183,172.500,22.500
184,177.500,22.500
185,180.500,22.500
186,2.500,27.500
187,7.500,27.500
188,12.500,27.500
189,17.500,27.500
190,22.500,27.500
191,27.500,27.500
192,32.500,27.500
193,37.500,27.500
194,42.500,27.500
195,47.500,27.500
196,52.500,27.500
197,57.500,27.500
198,62.500,27.500
199,67.500,27.500
200,72.500,27.500
201,77.500,27.500
202,82.500,27.500
203,87.500,27.500
204,92.500,27.500
205,97.500,27.500
206,102.500,27.500
207,107.500,27.500
208,112.500,27.500
209,117.500,27.500
210,122.500,27.500
211,127.500,27.500
212,132.500,27.500
213,137.500,27.500
214,142.500,27.500
215,147.500,27.500
216,152.500,27.500
217,157.500,27.500
218,162.500,27.500
219,167.500,27.500
220,172.500,27.500
221,177.500,27.500
222,180.500,27.500
223,2.500,32.500
224,7.500,32.500
225,12.500,32.500
226,17.500,32.500
227,22.500,32.500
228,27.500,32.500
229,32.500,32.500
230,37.500,32.500
231,42.500,32.500
232,47.500,32.500
233,52.500,32.500
234,57.500,32.500
235,62.500,32.500
236,67.500,32.500
237,72.500,32.500
238,77.500,32.500
239,82.500,32.500
240,87.500,32.500
241,92.500,32.500
242,97.500,32.500
243,102.500,32.500
244,107.500,32.500
245,112.500,32.500
246,117.500,32.500
247,122.500,32.500
248,127.500,32.500
249,132.500,32.500
250,137.500,32.500
251,142.500,32.500
252,147.500,32.500
253,152.500,32.500
254,157.500,32.500
255,162.500,32.500
256,167.500,32.500
257,172.500,32.500
258,177.500,32.500
259,180.500,32.500
260,2.500,37.500
261,7.500,37.500
262,12.500,37.500
263,17.500,37.500
264,22.500,37.500
265,27.500,37.500
266,32.500,37.500
267,37.500,37.500
268,42.500,37.500
269,47.500,37.500
270,52.500,37.500
271,57.500,37.500
272,62.500,37.500
273,67.500,37.500
274,72.500,37.500
275,77.500,37.500
276,82.500,37.500
277,87.500,37.500
278,92.500,37.500
279,97.500,37.500
280,102.500,37.500
281,107.500,37.500
282,112.500,37.500
283,117.500,37.500
284,122.500,37.500
285,127.500,37.500
286,132.500,37.500
287,137.500,37.500
288,142.500,37.500
289,147.500,37.500
290,152.500,37.500
291,157.500,37.500
292,162.500,37.500
293,167.500,37.500
294,172.500,37.500
295,177.500,37.500
296,180.500,37.500
297,2.500,42.500
298,7.500,42.500
299,12.500,42.500
300,17.500,42.500
301,22.500,42.500
302,27.500,42.500
303,32.500,42.500
304,37.500,42.500
305,42.500,42.500
306,47.500,42.500
307,52.500,42.500
308,57.500,42.500
